Sentiment Category	  Total sentiment_results	  Average sentiment
    positive	                310	                 202,0966
    neutral	                   113	                     0
    negative	                22	                  -8,611



review_text,summary,cleaned_review,tokenized_review,sentiment_scores,compound_sentiment,sentiment_category
  Great product and price!,  Five Stars,  great product and price,   great product price,"{'neg': 0.0, 'neu': 0.406, 'pos': 0.594, 'compound': 0.6588}",0.6588,positive
  Waaay too small. Will use for futur children!,  Oops!,  waaay too small will use for futur children,   waaay small use futur children,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Stays vibrant after many washes,  Great,  stays vibrant after many washes,   stays vibrant washes,"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.5267}",0.5267,positive
  Stays vibrant after many washes,  Good,  stays vibrant after many washes,   stays vibrant washes,"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.5267}",0.5267,positive
  My son really likes the pink. Ones which I was nervous about,  Great,  my son really likes the pink ones which i was nervous about,   son likes pink ones nervous,"{'neg': 0.148, 'neu': 0.634, 'pos': 0.218, 'compound': 0.2484}",0.2484,positive
  Waaay too small. Will use for future child.,  Oops!,  waaay too small will use for future child,   waaay small use future child,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 reviewerName: Denise A. Conte, reviewText: Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist., reviewername denise a conte,  reviewername denise conte,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 reviewerName: Cognizant Consumer, reviewText: This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, reviewername cognizant consumer,  reviewername cognizant consumer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Waaaay too BIG,  One Star,  waaaay too big,   waaaay big,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Comfortable,  Five Stars,  comfortable,   comfortable,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",0.5106,positive
